Number of nodes 969
   137 : -1.2601757e+00 -1.5530477e+00
   138 : -1.2136003e+00 -1.5897089e+00
   139 : -1.1659590e+00 -1.6249738e+00
   140 : -1.1172935e+00 -1.6588114e+00
   141 : -1.0676468e+00 -1.6911920e+00
   142 : -1.0170622e+00 -1.7220872e+00
   143 : -9.6558441e-01 -1.7514699e+00
   144 : -9.1325847e-01 -1.7793142e+00
   145 : -8.6013040e-01 -1.8055957e+00
   146 : -8.0624686e-01 -1.8302912e+00
   147 : -7.5165516e-01 -1.8533792e+00
   148 : -6.9640327e-01 -1.8748393e+00
   149 : -6.4053971e-01 -1.8946527e+00
   150 : -5.8411354e-01 -1.9128020e+00
   151 : -5.2717433e-01 -1.9292712e+00
   152 : -4.6977209e-01 -1.9440458e+00
   153 : -4.1195724e-01 -1.9571130e+00
   154 : -3.5378055e-01 -1.9684612e+00
   155 : -2.9529313e-01 -1.9780804e+00
   156 : -2.3654634e-01 -1.9859622e+00
   157 : -1.7759179e-01 -1.9920997e+00
   158 : -1.1848126e-01 -1.9964875e+00
   159 : -5.9266656e-02 -1.9991217e+00
   160 : -2.1437509e-15 -2.0000000e+00
   161 :  5.9266656e-02 -1.9991217e+00
   162 :  1.1848126e-01 -1.9964875e+00
   163 :  1.7759179e-01 -1.9920997e+00
   164 :  2.3654634e-01 -1.9859622e+00
   165 :  2.9529313e-01 -1.9780804e+00
   166 :  3.5378055e-01 -1.9684612e+00
   167 :  4.1195724e-01 -1.9571130e+00
   168 :  4.6977209e-01 -1.9440458e+00
   169 :  5.2717433e-01 -1.9292712e+00
   170 :  5.8411354e-01 -1.9128020e+00
   171 :  6.4053971e-01 -1.8946527e+00
   172 :  6.9640327e-01 -1.8748393e+00
   173 :  7.5165516e-01 -1.8533792e+00
   174 :  8.0624686e-01 -1.8302912e+00
   175 :  8.6013040e-01 -1.8055957e+00
   176 :  9.1325847e-01 -1.7793142e+00
   177 :  9.6558441e-01 -1.7514699e+00
   178 :  1.0170622e+00 -1.7220872e+00
   179 :  1.0676468e+00 -1.6911920e+00
   180 :  1.1172935e+00 -1.6588114e+00
   181 :  1.1659590e+00 -1.6249738e+00
   182 :  1.2136003e+00 -1.5897089e+00
   183 :  1.2601757e+00 -1.5530477e+00
   184 :  1.3056442e+00 -1.5150225e+00
   185 :  1.3499660e+00 -1.4756666e+00
   186 :  1.3931021e+00 -1.4350145e+00
   187 :  1.4350145e+00 -1.3931021e+00
   188 :  1.4756666e+00 -1.3499660e+00
   189 :  1.5150225e+00 -1.3056442e+00
   190 :  1.5530477e+00 -1.2601757e+00
   191 :  1.5897089e+00 -1.2136003e+00
   192 :  1.6249738e+00 -1.1659590e+00
   193 :  1.6588114e+00 -1.1172935e+00
   194 :  1.6911920e+00 -1.0676468e+00
   195 :  1.7220872e+00 -1.0170622e+00
   196 :  1.7514699e+00 -9.6558441e-01
   197 :  1.7793142e+00 -9.1325847e-01
   198 :  1.8055957e+00 -8.6013040e-01
   199 :  1.8302912e+00 -8.0624686e-01
   200 :  1.8533792e+00 -7.5165516e-01
   201 :  1.8748393e+00 -6.9640327e-01
   202 :  1.8946527e+00 -6.4053971e-01
   203 :  1.9128020e+00 -5.8411354e-01
   204 :  1.9292712e+00 -5.2717433e-01
   205 :  1.9440458e+00 -4.6977209e-01
   206 :  1.9571130e+00 -4.1195724e-01
   207 :  1.9684612e+00 -3.5378055e-01
   208 :  1.9780804e+00 -2.9529313e-01
   209 :  1.9859622e+00 -2.3654634e-01
   210 :  1.9920997e+00 -1.7759179e-01
   211 :  1.9964875e+00 -1.1848126e-01
   212 :  1.9991217e+00 -5.9266656e-02
   213 :  3.9573735e-01  5.8240467e-02
   214 :  3.8304024e-01  1.1523964e-01
   215 :  3.6217929e-01  1.6978268e-01
   216 :  3.3359913e-01  2.2070710e-01
   217 :  2.9790887e-01  2.6692752e-01
   218 :  2.5586921e-01  3.0745886e-01
   219 :  2.0837614e-01  3.4143724e-01
   220 :  1.5644189e-01  3.6813847e-01
   221 :  1.0117335e-01  3.8699348e-01
   222 :  4.3748483e-02  3.9760039e-01
   223 : -1.4608809e-02  3.9973314e-01
   224 : -7.2654740e-02  3.9334627e-01
