Number of nodes 3320
   138 : -8.9538536e-01  1.7883750e+00
   139 : -9.2184989e-01  1.7748782e+00
   140 : -9.4811102e-01  1.7609899e+00
   141 : -9.7416298e-01  1.7467131e+00
   142 : -1.0000000e+00  1.7320508e+00
   143 : -1.0256164e+00  1.7170064e+00
   144 : -1.0510065e+00  1.7015832e+00
   145 : -1.0761647e+00  1.6857845e+00
   146 : -1.1010855e+00  1.6696140e+00
   147 : -1.1257633e+00  1.6530750e+00
   148 : -1.1501928e+00  1.6361713e+00
   149 : -1.1743685e+00  1.6189066e+00
   150 : -1.1982851e+00  1.6012848e+00
   151 : -1.2219373e+00  1.5833096e+00
   152 : -1.2453199e+00  1.5649851e+00
   153 : -1.2684277e+00  1.5463153e+00
   154 : -1.2912557e+00  1.5273044e+00
   155 : -1.3137988e+00  1.5079565e+00
   156 : -1.3360520e+00  1.4882758e+00
   157 : -1.3580105e+00  1.4682669e+00
   158 : -1.3796693e+00  1.4479339e+00
   159 : -1.4010237e+00  1.4272815e+00
   160 : -1.4220690e+00  1.4063142e+00
   161 : -1.4428006e+00  1.3850366e+00
   162 : -1.4632138e+00  1.3634535e+00
   163 : -1.4833042e+00  1.3415695e+00
   164 : -1.5030673e+00  1.3193895e+00
   165 : -1.5224988e+00  1.2969184e+00
   166 : -1.5415944e+00  1.2741611e+00
   167 : -1.5603499e+00  1.2511228e+00
   168 : -1.5787611e+00  1.2278084e+00
   169 : -1.5968239e+00  1.2042231e+00
   170 : -1.6145345e+00  1.1803721e+00
   171 : -1.6318888e+00  1.1562607e+00
   172 : -1.6488831e+00  1.1318942e+00
   173 : -1.6655136e+00  1.1072779e+00
   174 : -1.6817766e+00  1.0824174e+00
   175 : -1.6976686e+00  1.0573180e+00
   176 : -1.7131860e+00  1.0319853e+00
   177 : -1.7283254e+00  1.0064250e+00
   178 : -1.7430835e+00  9.8064261e-01
   179 : -1.7574570e+00  9.5464385e-01
   180 : -1.7714428e+00  9.2843447e-01
   181 : -1.7850377e+00  9.0202024e-01
   182 : -1.7982387e+00  8.7540700e-01
   183 : -1.8110431e+00  8.4860061e-01
   184 : -1.8234478e+00  8.2160699e-01
   185 : -1.8354503e+00  7.9443210e-01
   186 : -1.8470477e+00  7.6708193e-01
   187 : -1.8582377e+00  7.3956252e-01
   188 : -1.8690176e+00  7.1187994e-01
   189 : -1.8793852e+00  6.8404029e-01
   190 : -1.8893382e+00  6.5604972e-01
   191 : -1.8988743e+00  6.2791440e-01
   192 : -1.9079914e+00  5.9964054e-01
   193 : -1.9166876e+00  5.7123439e-01
   194 : -1.9249609e+00  5.4270220e-01
   195 : -1.9328094e+00  5.1405027e-01
   196 : -1.9402316e+00  4.8528492e-01
   197 : -1.9472256e+00  4.5641251e-01
   198 : -1.9537901e+00  4.2743939e-01
   199 : -1.9599234e+00  3.9837197e-01
   200 : -1.9656243e+00  3.6921665e-01
   201 : -1.9708916e+00  3.3997988e-01
   202 : -1.9757240e+00  3.1066809e-01
   203 : -1.9801205e+00  2.8128776e-01
   204 : -1.9840801e+00  2.5184536e-01
   205 : -1.9876020e+00  2.2234740e-01
   206 : -1.9906853e+00  1.9280039e-01
   207 : -1.9933294e+00  1.6321083e-01
   208 : -1.9955338e+00  1.3358527e-01
   209 : -1.9972978e+00  1.0393023e-01
   210 : -1.9986212e+00  7.4252262e-02
   211 : -1.9995036e+00  4.4557911e-02
   212 : -1.9999448e+00  1.4853729e-02
   213 : -1.9999448e+00 -1.4853729e-02
   214 : -1.9995036e+00 -4.4557911e-02
   215 : -1.9986212e+00 -7.4252262e-02
   216 : -1.9972978e+00 -1.0393023e-01
   217 : -1.9955338e+00 -1.3358527e-01
   218 : -1.9933294e+00 -1.6321083e-01
   219 : -1.9906853e+00 -1.9280039e-01
   220 : -1.9876020e+00 -2.2234740e-01
   221 : -1.9840801e+00 -2.5184536e-01
   222 : -1.9801205e+00 -2.8128776e-01
   223 : -1.9757240e+00 -3.1066809e-01
   224 : -1.9708916e+00 -3.3997988e-01
