Number of nodes 848 
     0 :  2.0000000e+00  1.0000000e+00 
     1 :  2.0000000e+00 -1.0000000e+00 
     2 : -2.0000000e+00 -1.0000000e+00 
     3 : -2.0000000e+00  1.0000000e+00 
     4 :  2.0000000e+00  8.8235294e-01 
     5 :  2.0000000e+00  7.6470588e-01 
     6 :  2.0000000e+00  6.4705882e-01 
     7 :  2.0000000e+00  5.2941176e-01 
     8 :  2.0000000e+00  4.1176471e-01 
     9 :  2.0000000e+00  2.9411765e-01 
    10 :  2.0000000e+00  1.7647059e-01 
    11 :  2.0000000e+00  5.8823529e-02 
    12 :  2.0000000e+00 -5.8823529e-02 
    13 :  2.0000000e+00 -1.7647059e-01 
    14 :  2.0000000e+00 -2.9411765e-01 
    15 :  2.0000000e+00 -4.1176471e-01 
    16 :  2.0000000e+00 -5.2941176e-01 
    17 :  2.0000000e+00 -6.4705882e-01 
    18 :  2.0000000e+00 -7.6470588e-01 
    19 :  2.0000000e+00 -8.8235294e-01 
    20 :  1.8857143e+00 -1.0000000e+00 
    21 :  1.7714286e+00 -1.0000000e+00 
    22 :  1.6571429e+00 -1.0000000e+00 
    23 :  1.5428571e+00 -1.0000000e+00 
    24 :  1.4285714e+00 -1.0000000e+00 
    25 :  1.3142857e+00 -1.0000000e+00 
    26 :  1.2000000e+00 -1.0000000e+00 
    27 :  1.0857143e+00 -1.0000000e+00 
    28 :  9.7142857e-01 -1.0000000e+00 
    29 :  8.5714286e-01 -1.0000000e+00 
    30 :  7.4285714e-01 -1.0000000e+00 
    31 :  6.2857143e-01 -1.0000000e+00 
    32 :  5.1428571e-01 -1.0000000e+00 
    33 :  4.0000000e-01 -1.0000000e+00 
    34 :  2.8571429e-01 -1.0000000e+00 
    35 :  1.7142857e-01 -1.0000000e+00 
    36 :  5.7142857e-02 -1.0000000e+00 
    37 : -5.7142857e-02 -1.0000000e+00 
    38 : -1.7142857e-01 -1.0000000e+00 
    39 : -2.8571429e-01 -1.0000000e+00 
    40 : -4.0000000e-01 -1.0000000e+00 
    41 : -5.1428571e-01 -1.0000000e+00 
    42 : -6.2857143e-01 -1.0000000e+00 
    43 : -7.4285714e-01 -1.0000000e+00 
    44 : -8.5714286e-01 -1.0000000e+00 
    45 : -9.7142857e-01 -1.0000000e+00 
    46 : -1.0857143e+00 -1.0000000e+00 
    47 : -1.2000000e+00 -1.0000000e+00 
    48 : -1.3142857e+00 -1.0000000e+00 
    49 : -1.4285714e+00 -1.0000000e+00 
    50 : -1.5428571e+00 -1.0000000e+00 
    51 : -1.6571429e+00 -1.0000000e+00 
    52 : -1.7714286e+00 -1.0000000e+00 
    53 : -1.8857143e+00 -1.0000000e+00 
    54 : -2.0000000e+00 -8.8235294e-01 
    55 : -2.0000000e+00 -7.6470588e-01 
    56 : -2.0000000e+00 -6.4705882e-01 
    57 : -2.0000000e+00 -5.2941176e-01 
    58 : -2.0000000e+00 -4.1176471e-01 
    59 : -2.0000000e+00 -2.9411765e-01 
    60 : -2.0000000e+00 -1.7647059e-01 
    61 : -2.0000000e+00 -5.8823529e-02 
    62 : -2.0000000e+00  5.8823529e-02 
    63 : -2.0000000e+00  1.7647059e-01 
    64 : -2.0000000e+00  2.9411765e-01 
    65 : -2.0000000e+00  4.1176471e-01 
    66 : -2.0000000e+00  5.2941176e-01 
    67 : -2.0000000e+00  6.4705882e-01 
    68 : -2.0000000e+00  7.6470588e-01 
    69 : -2.0000000e+00  8.8235294e-01 
    70 : -1.8857143e+00  1.0000000e+00 
    71 : -1.7714286e+00  1.0000000e+00 
    72 : -1.6571429e+00  1.0000000e+00 
    73 : -1.5428571e+00  1.0000000e+00 
    74 : -1.4285714e+00  1.0000000e+00 
    75 : -1.3142857e+00  1.0000000e+00 
    76 : -1.2000000e+00  1.0000000e+00 
    77 : -1.0857143e+00  1.0000000e+00 
    78 : -9.7142857e-01  1.0000000e+00 
    79 : -8.5714286e-01  1.0000000e+00 
